,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
122,2010-12-21,31.00807315367363,31.719253414078597,30.43809267395107,30.99008564190662,2310843.410349072,0.0,1.0,31.8,32.69,31.7101,32.26,777700.0
123,2010-12-22,30.369786199189193,31.100075722517577,29.680488637977366,30.27452023756721,2272952.8482829896,0.0,1.0,32.25,32.86,31.7,32.63,833300.0
124,2010-12-23,29.3356834607326,30.07627362560631,28.458272948653352,29.130694760482207,1521422.016942417,0.0,1.0,31.26,32.48,29.92,30.09,1552600.0
125,2010-12-27,28.20720493266239,28.947644187378557,27.132666951260866,27.889492569141563,6297769.692772372,0.0,1.0,28.02,28.58,25.06,25.549,9301900.0
126,2010-12-28,27.305724052884745,28.034527982069815,26.09605912698236,26.909449146277705,2756594.880491309,0.0,1.0,25.85,26.75,25.0,26.41,4056300.0
127,2010-12-29,26.975407142225567,27.68009068150483,25.76756925475292,26.573767068137254,3534876.368276514,0.0,1.0,27.03,28.01,26.5,27.73,3319200.0
128,2010-12-30,27.08172119169797,27.751349328495955,25.982527884271093,26.732170045957815,3162241.1789531372,0.0,1.0,27.7,27.9,26.38,26.5,2041100.0
129,2010-12-31,27.36695144064403,27.994218968719085,26.42489233934103,27.09619510388826,2438730.10853681,0.0,1.0,26.57,27.25,26.5,26.63,1417900.0
130,2011-01-03,27.67161340915673,28.248884264435162,26.901058395193317,27.48905095785893,1577011.258541025,0.0,1.0,26.84,26.9999,25.9,26.62,1283000.0
131,2011-01-04,27.809156429868338,28.32894040677653,27.18317160335963,27.70292222749153,1252961.5189342862,0.0,1.0,26.66,26.95,26.02,26.67,1187400.0
132,2011-01-05,27.791544554954935,28.253162388300783,27.27599913150042,27.74357533136199,1325104.2352715284,0.0,1.0,26.48,26.9,26.19,26.83,1446700.0
133,2011-01-06,27.705911236530017,28.11518852664916,27.276294461263788,27.700756242604427,1486671.798825362,0.0,1.0,26.83,28.0,26.81,27.88,2061200.0
134,2011-01-07,27.548017215588686,27.918320234162326,27.166605280220708,27.560691456212016,1625670.4126750792,0.0,1.0,28.0,28.58,27.9,28.24,2247900.0
135,2011-01-10,27.321591880334907,27.67411738390493,26.93901978888442,27.31825603691914,1596760.0279613952,0.0,1.0,28.17,28.68,28.05,28.45,1342700.0
136,2011-01-11,27.03282435296733,27.38537139512087,26.60686737751904,26.985177820060425,1453631.7819416206,0.0,1.0,28.59,28.71,26.92,26.96,1710200.0
137,2011-01-12,26.681959850863617,27.044682167378745,26.182191570718874,26.5715079295649,1306287.1897003013,0.0,1.0,27.01,27.399,26.52,26.96,964400.0
138,2011-01-13,26.28255812838805,26.66367259742141,25.686838222218373,26.09610579426408,1235210.4474958284,0.0,1.0,26.96,26.97,26.16,26.22,723600.0
139,2011-01-14,25.855861201548894,26.260508522952815,25.153825365858573,25.587760578599877,1325895.6122703322,0.0,1.0,26.15,26.58,25.61,25.75,1192000.0
140,2011-01-18,25.43094276589148,25.857834159717054,24.6257591428394,25.08591614234878,1514482.6377567698,0.0,1.0,25.48,25.64,24.75,25.64,1621700.0
141,2011-01-19,25.032352262702094,25.47555128333339,24.13676648103064,24.62265380632262,1703819.9087643286,0.0,1.0,25.27,25.47,23.75,24.03,2371500.0
142,2011-01-20,24.700870434063937,25.14646395579845,23.74594243530238,24.252124510749677,1821731.6168738294,0.0,1.0,24.03,24.45,22.37,22.62,2279900.0
143,2011-01-21,24.47575693381941,24.901723827217566,23.510377756642196,24.026759810108587,1791158.799773741,0.0,1.0,23.12,23.59,22.71,23.04,1217000.0
144,2011-01-24,24.34160769729757,24.73057544144076,23.40725026054562,23.925093759716876,1643052.0044974808,0.0,1.0,23.53,24.81,23.23,24.49,1645100.0
145,2011-01-25,24.268626135481302,24.612182903070526,23.391913791410623,23.9052223100908,1445744.2122936097,0.0,1.0,24.65,24.89,24.02,24.68,1271500.0
